k,insPar,filter,mem_size,time,steps
13,5,1000000,15,68.469000,5424
13,6,1000000,15,56.378000,5110
13,7,1000000,15,55.656000,5076
13,8,1000000,15,46.866000,5029
13,9,1000000,15,46.162000,5051
13,10,1000000,15,35.339000,4603
13,1,1000000,20,2.364000,47
13,2,1000000,20,6.977000,464
13,3,1000000,20,17.627000,1401
13,4,1000000,20,20.491000,2250
13,5,1000000,20,28.026000,2877
13,6,1000000,20,21.359000,2863
13,7,1000000,20,28.481000,3295
13,8,1000000,20,28.007000,3645
13,9,1000000,20,28.177000,3758
13,10,1000000,20,23.054000,3918
15,1,1000000,15,538.868000,26039
15,2,1000000,15,269.779000,15218
15,3,1000000,15,188.858000,11749
15,4,1000000,15,134.491000,9402
15,5,1000000,15,105.581000,8110
15,6,1000000,15,98.041000,7835
15,7,1000000,15,79.574000,6983
15,8,1000000,15,61.668000,6180
15,9,1000000,15,65.448000,6457
15,10,1000000,15,54.299000,5902
15,1,1000000,20,1.685000,27
15,2,1000000,20,11.018000,647
15,3,1000000,20,27.759000,2616
15,4,1000000,20,36.426000,3535
15,5,1000000,20,39.127000,4192
15,6,1000000,20,41.934000,4470
15,7,1000000,20,34.555000,4289
15,8,1000000,20,34.512000,4517
15,9,1000000,20,36.411000,4704
15,10,1000000,20,39.173000,4925
20,1,1000000,20,511.138000,42287
20,2,1000000,20,284.048000,24878
20,3,1000000,20,188.804000,17711
20,4,1000000,20,143.238000,14332
20,5,1000000,20,123.946000,12506
20,6,1000000,20,101.562000,10980
20,7,1000000,20,75.841000,9328
20,8,1000000,20,77.709000,9426
20,9,1000000,20,68.527000,8619
20,10,1000000,20,60.481000,8341
