MEMs for Pattern 1
============================================

MEMs for Pattern 2
============================================

MEMs for Pattern 3
============================================
MEM (start=417, end=435, len=18)
MEM (start=449, end=460, len=11)
MEM (start=480, end=507, len=27)
MEM (start=524, end=537, len=13)
MEM (start=550, end=566, len=16)
MEM (start=570, end=581, len=11)
MEM (start=575, end=586, len=11)
MEM (start=579, end=589, len=10)
MEM (start=580, end=590, len=10)
MEM (start=603, end=614, len=11)
MEM (start=616, end=628, len=12)
MEM (start=629, end=660, len=31)
MEM (start=655, end=665, len=10)
MEM (start=664, end=674, len=10)
MEM (start=666, end=676, len=10)
MEM (start=672, end=682, len=10)
MEM (start=681, end=692, len=11)
MEM (start=705, end=715, len=10)
MEM (start=720, end=735, len=15)
MEM (start=736, end=748, len=12)
MEM (start=749, end=759, len=10)
MEM (start=760, end=772, len=12)
MEM (start=765, end=775, len=10)
MEM (start=776, end=787, len=11)
MEM (start=787, end=803, len=16)
MEM (start=818, end=828, len=10)
MEM (start=822, end=832, len=10)
MEM (start=841, end=853, len=12)
MEM (start=845, end=855, len=10)
MEM (start=850, end=860, len=10)
MEM (start=855, end=866, len=11)
MEM (start=859, end=873, len=14)
MEM (start=899, end=912, len=13)
MEM (start=904, end=915, len=11)
MEM (start=919, end=938, len=19)
MEM (start=938, end=948, len=10)
MEM (start=943, end=953, len=10)
MEM (start=961, end=971, len=10)
MEM (start=971, end=982, len=11)
MEM (start=982, end=992, len=10)
MEM (start=983, end=993, len=10)

MEMs for Pattern 6
============================================
MEM (start=13, end=23, len=10)
MEM (start=14, end=29, len=15)
MEM (start=27, end=37, len=10)
MEM (start=30, end=40, len=10)
MEM (start=53, end=63, len=10)
MEM (start=57, end=67, len=10)
MEM (start=72, end=89, len=17)
MEM (start=84, end=95, len=11)
MEM (start=94, end=105, len=11)
MEM (start=103, end=113, len=10)
MEM (start=117, end=130, len=13)
MEM (start=131, end=146, len=15)
MEM (start=142, end=152, len=10)
MEM (start=155, end=165, len=10)
MEM (start=158, end=168, len=10)
MEM (start=164, end=181, len=17)
MEM (start=180, end=190, len=10)
MEM (start=207, end=230, len=23)
MEM (start=218, end=240, len=22)
MEM (start=232, end=243, len=11)
MEM (start=243, end=253, len=10)
MEM (start=286, end=297, len=11)
MEM (start=299, end=320, len=21)
MEM (start=323, end=333, len=10)
MEM (start=328, end=338, len=10)
MEM (start=341, end=351, len=10)
MEM (start=354, end=364, len=10)
MEM (start=360, end=370, len=10)
MEM (start=361, end=375, len=14)
MEM (start=373, end=383, len=10)
MEM (start=378, end=388, len=10)
MEM (start=391, end=401, len=10)
MEM (start=406, end=417, len=11)
MEM (start=412, end=422, len=10)
MEM (start=425, end=439, len=14)
MEM (start=445, end=458, len=13)
MEM (start=457, end=467, len=10)
MEM (start=470, end=489, len=19)
MEM (start=490, end=509, len=19)
MEM (start=501, end=511, len=10)
MEM (start=505, end=516, len=11)
MEM (start=514, end=526, len=12)
MEM (start=518, end=528, len=10)
MEM (start=519, end=530, len=11)
MEM (start=522, end=533, len=11)
MEM (start=525, end=535, len=10)
MEM (start=552, end=562, len=10)
